YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2021,5,3,6.27,33.92,23.81,2.51,0
2021,5,4,6.13,34.77,20.39,1.51,0
2021,5,5,6.53,33.54,20.14,2.06,0
2021,5,6,5.16,33,29.94,2.79,5.43
2021,5,7,6.5,31.59,35.56,1.86,0.66
2021,5,8,6.51,32.11,29.22,1.89,0
2021,5,9,5.74,33.1,26.83,2.36,0.13
2021,5,10,5.22,34.56,24.96,1.82,1.28
2021,5,11,6.66,33.78,25.38,2.76,0.01
2021,5,12,6.51,34.07,24.67,2.22,0.46
2021,5,13,5.7,30.93,36.53,1.83,1.97
2021,5,14,6.86,31.86,32.87,1.52,0
2021,5,15,5.16,33.51,26.98,1.36,0
2021,5,16,7.31,34.12,21.22,2.35,0.02
2021,5,17,3.36,33.43,22.31,3.72,0
2021,5,18,1.89,30.03,38.56,5.05,2.15
2021,5,19,1.36,25.52,67.6,5.49,50.91
2021,5,20,5.14,24.92,74.53,6.76,36.98
2021,5,21,4.99,28.26,57.33,1.79,6.72
2021,5,22,7.31,29.68,52.14,2.82,1.81
2021,5,23,6.32,28.72,45.34,2.91,0
2021,5,24,7.36,29.25,38.26,5.6,0
2021,5,25,8.07,31.03,36.13,5.64,0
2021,5,26,7.66,32.27,34.92,3.64,0
2021,5,27,7.5,33.18,29.87,2.38,0
2021,5,28,7.54,31.76,36.89,3.06,0
2021,5,29,7.19,31.87,52.33,4.93,0.66
2021,5,30,6.77,32.06,53.2,3.19,0.47
2021,5,31,6.54,34.94,39.83,1.72,0
2021,6,1,5.26,31.43,45.88,2,18.58
2021,6,2,6.08,31.86,40.34,1.56,0.02
2021,6,3,6.95,32.34,41.23,1.76,0
2021,6,4,6.11,33.99,41.36,1.88,0.9
2021,6,5,6.76,34.33,42.31,2.29,0.93
2021,6,6,7.24,33.74,44.34,2.45,0.01
2021,6,7,6.97,34.94,41.06,3.5,0
2021,6,8,6.76,35.98,37.89,5.6,0
2021,6,9,6.41,36.69,38.4,4.15,0
2021,6,10,6.13,33.62,51.79,3.92,4.57
2021,6,11,6.37,32.49,56.1,3.1,3.71
2021,6,12,6.29,32.62,58.37,3.47,12.24
2021,6,13,5.67,31.91,60.6,2.94,0.83
2021,6,14,6.78,33.48,43.91,1.78,0.06
2021,6,15,5.97,32.99,49.43,2.91,0.49
2021,6,16,5.29,31.76,52.88,1.27,4.39
2021,6,17,5.35,31.67,56.66,1.58,23.96
2021,6,18,5.79,31.22,57.42,2.09,5.99
2021,6,19,5.27,29.99,61.65,2.23,6.88
2021,6,20,4.86,30.68,62.29,2.06,2.07
2021,6,21,6.31,33.08,47.51,2.36,0.21
2021,6,22,6.59,33.93,42.91,2.86,0
2021,6,23,6.61,34.29,41.47,1.58,0
2021,6,24,5.58,33.64,45.37,2.26,0
2021,6,25,6.63,33.49,44.71,2.52,3.27
2021,6,26,6.11,32.38,43.08,1.78,1.01
2021,6,27,6.15,33.59,44.51,2.06,0.04
2021,6,28,6.35,34.49,44.13,1.59,0
2021,6,29,7.12,35.78,34.83,3.68,0
2021,6,30,6.88,36.64,33.63,5.61,0
2021,7,1,6.72,37.37,35.46,3.63,0.01
2021,7,2,5.88,36.9,38.87,2.55,2.53
2021,7,3,4.94,34.4,50.2,3.22,3.75
2021,7,4,6.74,34.5,43.51,2.04,0.03
2021,7,5,6.33,35.16,39.67,2.18,0
2021,7,6,6.75,36.01,40.39,3.42,0
2021,7,7,6.81,36.92,38.41,3.7,0
2021,7,8,6.43,37.66,36.94,2.57,0.25
2021,7,9,5.49,35.05,49.78,2.17,5.82
2021,7,10,6.42,34.78,46.81,3.42,0.07
2021,7,11,5.09,33.34,56.85,5.06,0.3
2021,7,12,4.17,31.78,62.1,5.18,3.36
2021,7,13,2.59,29.95,72.68,4.03,8.73
2021,7,14,2.27,29.65,75.3,3.6,22.7
2021,7,15,5.65,32.16,61.98,4.25,5.89
2021,7,16,6.27,33.89,55.93,3.04,1.83
2021,7,17,5.53,34.26,56.4,2.04,1.04
2021,7,18,2.96,31.52,72.71,2.82,22.08
2021,7,19,0.67,28.47,90.13,3.57,61.74
2021,7,20,3.55,28.28,87.79,1.32,37.5
2021,7,21,5.01,28.52,86.74,1.61,12.76
2021,7,22,4,29.67,81.28,2.54,11.56
2021,7,23,4.82,29.43,85.05,2.4,5.06
2021,7,24,5.36,30.56,78.82,1.41,0.13
2021,7,25,6.08,31.31,77,1.74,0.01
2021,7,26,2.64,29.14,82.74,1.63,10.59
2021,7,27,2.41,29.39,84.81,2.39,28.82
2021,7,28,0.92,28.03,88.46,1.51,38.87
2021,7,29,3.89,28.19,87.39,1.29,9.96
2021,7,30,3.36,28.48,87.25,2.44,28.45
2021,7,31,5.23,28.85,84.79,3.27,10.88
2021,8,1,3.18,30.24,76.21,0.87,11.06
2021,8,2,3.69,29.21,84.09,2.22,2.12
2021,8,3,4.54,28.9,84.96,3.45,1.36
2021,8,4,5.37,28.51,85,3.4,0.03
2021,8,5,5.17,28.87,84.04,2.18,0.08
2021,8,6,4.81,29.1,76.63,1.2,0.05
2021,8,7,3.26,27.05,87.48,1.77,12.61
2021,8,8,2.68,29.42,80.03,0.95,2.89
2021,8,9,3.2,28.86,83.08,1.43,10.72
2021,8,10,5.98,29.63,81.29,2.49,0.75
2021,8,11,6.38,29,76.98,3.75,0.01
2021,8,12,6.21,29.01,78.56,2.78,0.07
2021,8,13,5.67,29.54,79.19,2.82,1.67
2021,8,14,6.47,29.78,80.39,3.42,0.22
