YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2021,5,3,5.8,30.51,64.66,3.97,12.96
2021,5,4,3.29,28.42,70.81,2.38,13.43
2021,5,5,4.95,29.14,65.06,2.94,2.65
2021,5,6,6.39,30.23,65.7,3.24,6.1
2021,5,7,6.46,30.81,65.71,3.93,6.53
2021,5,8,6.79,31.3,61.23,3.63,1.44
2021,5,9,5,30.93,64.4,3.71,5.37
2021,5,10,6.2,30.94,66.68,3.96,9.06
2021,5,11,4.27,30.46,72.08,3.86,15.76
2021,5,12,6.27,30.56,69.42,2.76,20.08
2021,5,13,4.62,30.82,68.47,3.14,5.29
2021,5,14,6.64,31.2,65.31,3.29,2.7
2021,5,15,6.78,32.16,65.06,4.05,0.18
2021,5,16,6.92,32.36,66.12,4.01,0.59
2021,5,17,7.21,32.85,66.52,4.33,0.01
2021,5,18,7.33,33.08,67.45,5.09,0.82
2021,5,19,6.14,32.32,70.61,4.41,2.62
2021,5,20,7.35,31.21,78.29,4.48,2.29
2021,5,21,7.18,31.52,72.43,4.15,2.18
2021,5,22,6.73,32.09,67.07,3.16,1.02
2021,5,23,6.85,32.31,65.79,1.74,3.88
2021,5,24,3.77,30.78,69.26,3.28,8.18
2021,5,25,3.3,28.77,80.32,7.89,34.26
2021,5,26,2.8,28.25,82.32,12.83,38.4
2021,5,27,3.03,29.52,82.69,9.74,40.06
2021,5,28,6.01,29.87,83.19,5.5,16.56
2021,5,29,5.42,30.01,79.73,4,0.3
2021,5,30,4.92,29.99,81.2,4.43,9.52
2021,5,31,1.11,29.42,88.56,4.85,12.72
2021,6,1,4.58,29.54,87.67,3.7,9.97
2021,6,2,4.44,29.75,83.34,3.03,9.46
2021,6,3,6.07,29.82,82.37,3.49,0.15
2021,6,4,6.61,30,81.8,3.13,0.01
2021,6,5,6.55,30.31,79.7,3.66,0.59
2021,6,6,6.61,30,82.33,4.15,3.83
2021,6,7,5.13,30.35,83.67,5.56,6.99
2021,6,8,5.49,29.8,86.24,5.36,15.6
2021,6,9,3.85,27.59,84.65,4.06,10.67
2021,6,10,3.25,27.37,88.2,3.1,2.74
2021,6,11,3.83,28.17,87.3,1.9,8.37
2021,6,12,4.12,28.62,84.25,2.34,9.96
2021,6,13,4.07,29.21,83.43,2.71,9.18
2021,6,14,4.1,29.25,85.98,3.93,20.15
