YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M,PRECTOTCORR
2021,5,2,6.08,32.43,47.71,2.25,1.48
2021,5,3,6.58,32.52,49.4,2.49,1.39
2021,5,4,7.17,32.7,47.92,2.91,0.69
2021,5,5,6.85,32.69,48.73,2.83,1.2
2021,5,6,6.74,32.3,53.84,2.54,0.75
2021,5,7,6.87,32.49,51.87,2.5,0.8
2021,5,8,6.71,32.84,49.81,2.6,0.09
2021,5,9,6.8,32.61,53.27,2.64,0.38
2021,5,10,7.52,32.34,52.71,3.12,0.04
2021,5,11,7.25,32.04,51.96,3.19,0.01
2021,5,12,7.57,31.36,56.32,3.45,0
2021,5,13,6.76,30.99,53.38,2.71,0.12
2021,5,14,6.88,32.43,50.16,3.12,0.13
2021,5,15,2.92,34.65,46.23,3.82,3.09
2021,5,16,3.45,32.75,54.63,8.89,11.81
2021,5,17,0.44,28.09,82.99,14.62,192.72
2021,5,18,1.44,28.38,86.49,9.2,77.57
2021,5,19,5.24,28.52,83.65,4.58,12.87
2021,5,20,6.86,28.88,77,2.11,0.35
2021,5,21,7.4,29.12,76.76,2.12,0.26
2021,5,22,6.36,28.74,79.58,2.52,0.48
2021,5,23,6.85,28.31,79.42,2.81,0.34
2021,5,24,6.84,28.87,78.5,3.23,0.24
2021,5,25,6.43,29.01,79.47,3.74,0.18
2021,5,26,6.36,28.75,78.96,4.04,0.24
2021,5,27,6.54,29.23,75.87,4.05,0.21
2021,5,28,6.58,29.44,78.37,3.72,0.23
2021,5,29,6.15,29.4,80.43,2.66,3.98
2021,5,30,6.68,28.93,83.18,2.2,5.6
2021,5,31,6.15,28.69,83.1,2.17,10.8
2021,6,1,6.36,28.6,83.43,2.43,18.38
2021,6,2,5.74,28.78,80.86,1.86,14.08
2021,6,3,6.96,29.15,77.64,1.78,4.88
2021,6,4,6.74,29.08,77.88,1.37,3.62
2021,6,5,5.06,27.91,83.37,2,13.56
2021,6,6,6.72,28.29,80.94,2.75,10.04
2021,6,7,4.44,28.48,80.52,3.52,6.18
2021,6,8,3.31,28.27,84.22,3.51,31
2021,6,9,0.98,28.19,85.73,4.97,54.2
2021,6,10,2.34,27.56,89.85,5.42,55.91
2021,6,11,4.77,28.05,87.86,5.06,37.06
2021,6,12,2.33,28.24,90.49,4.84,32.49
2021,6,13,6.21,28.07,90.32,4.58,19.53
2021,6,14,6.4,28.55,87.04,4.59,5.61
2021,6,15,4.96,28.13,88.22,5.65,29.75
2021,6,16,4.57,27.79,90.12,5.36,43.4
2021,6,17,3.08,27.81,88.08,6.21,61.14
2021,6,18,5.15,27.82,87.82,6.73,54.49
2021,6,19,5.15,27.48,88.26,5.81,44.56
2021,6,20,5.49,27.5,87.53,5.1,19.16
2021,6,21,5.86,27.28,88,4.03,5.09
2021,6,22,6.12,27.48,86.22,3.79,4.08
2021,6,23,5.34,27.28,86.95,3.8,5.47
2021,6,24,4.3,27.29,87.78,3.84,10.57
2021,6,25,1.73,27.02,88.61,4.08,21.47
2021,6,26,6.21,27.18,86.91,4.08,7.69
2021,6,27,2.89,26.79,86.35,2.96,6.28
2021,6,28,4.05,26.25,91.42,3.39,26
2021,6,29,3.56,27.3,89.09,2.95,6.74
2021,6,30,5.14,27.11,89.75,3.11,3.91
2021,7,1,5.81,27.43,87.89,3.95,2.31
2021,7,2,6.31,27.59,85.97,4.4,0.85
2021,7,3,6.62,27.58,86.79,3.45,1.03
2021,7,4,6.68,27.53,85.69,2.47,0.99
2021,7,5,6.64,27.41,85.4,1.98,3.95
2021,7,6,6.67,27.52,84.77,2.07,2.78
2021,7,7,6.61,27.66,85.77,2.46,4.93
2021,7,8,4.98,27.64,87.7,2.83,20.77
2021,7,9,4.22,27.24,87.92,2.09,24.21
2021,7,10,2.96,26.93,85.02,2.25,9.61
2021,7,11,3.58,26.74,91.29,4.75,15.08
2021,7,12,4.35,26.58,93.27,6.83,93.46
2021,7,13,2.4,26.83,89.9,5.05,41.63
2021,7,14,2.64,26.64,92.04,4.74,27.06
2021,7,15,4.87,26.84,94,5.68,89.19
2021,7,16,4.47,26.99,90.86,4.78,26.92
2021,7,17,4.92,26.86,92.18,4.26,64.44
2021,7,18,4.94,26.9,92.76,5.94,69.83
2021,7,19,2.59,26.65,92.5,6.63,105.98
2021,7,20,3.53,26.52,92.2,5.88,60.3
2021,7,21,1.04,26.32,92.08,7.32,119.2
2021,7,22,2.37,26.47,90.55,6.99,44.19
2021,7,23,2.46,26.33,92.32,5.77,55.22
2021,7,24,5.25,27.16,90.69,4.82,31.3
2021,7,25,4.02,26.85,92.11,5.66,26.27
2021,7,26,5.06,26.76,90.04,7.07,18.53
2021,7,27,4.5,26.45,88.75,6.86,16.2
2021,7,28,2.24,26.37,88.95,7.08,18.34
2021,7,29,3.2,25.88,90.99,6.6,20.2
2021,7,30,4.23,25.68,91.43,6.43,30.93
2021,7,31,4.62,26.16,89.28,6.44,6.43
2021,8,1,3.81,26.09,88.05,5.85,5.98
2021,8,2,4.73,26.32,88.37,5.73,11.06
2021,8,3,3.86,26.5,89.65,5.83,15.55
2021,8,4,3.46,26.3,90.23,5.72,13.85
2021,8,5,4.48,26.33,89.26,5.52,6.41
2021,8,6,4.29,26.48,88.97,4.54,3.8
2021,8,7,4.87,26.6,88.3,3.23,2.27
2021,8,8,4.45,26.58,88.93,2.81,4.96
2021,8,9,5.72,26.84,87.98,2.85,1.55
2021,8,10,4.41,26.44,88.85,2.78,3.37
2021,8,11,4.7,26.61,88.49,2.92,5.82
2021,8,12,5.08,26.5,88.06,3.47,10.95
2021,8,13,5,26.36,88.64,3.64,7.09
2021,8,14,4.34,26.1,88.96,3.87,16.19
2021,8,15,3.88,26.27,88.53,3.63,17.72
2021,8,16,2.8,26.3,88.76,2.51,10.27
2021,8,17,2.62,25.72,90.55,2.38,11.53
2021,8,18,1.33,25.06,92,2.36,28.89
2021,8,19,0.91,25.31,91.78,2.28,38.03
2021,8,20,1.86,25.65,90.44,2.97,16.41
2021,8,21,1.12,25.69,90.67,2.8,36.37
2021,8,22,4.26,25.14,90.99,2.29,1.6
2021,8,23,5.89,25.91,85.7,2.24,0.42
2021,8,24,5.91,26.44,86.82,1.91,1.09
2021,8,25,6.07,26.6,86.99,2.35,1.31
2021,8,26,4.73,26.72,87.91,2.47,3.53
2021,8,27,5.72,26.88,86.81,2.59,3.63
2021,8,28,6.41,26.64,85.95,2.1,0.93
2021,8,29,5.36,26.79,84.79,2.01,0.96
2021,8,30,3.35,25.87,89.8,3.48,15.65
2021,8,31,1.18,25.24,93.65,5.47,81.32
2021,9,1,2.61,25.89,91.89,4.31,11.59
2021,9,2,4.9,25.83,91.81,3.74,7.96
2021,9,3,3.14,26.31,89.79,3.92,18.03
2021,9,4,4.88,26.32,90.24,3.19,15.54
2021,9,5,4.32,26.32,90.33,2.94,13.12
2021,9,6,4.17,26.19,92.02,3.69,13.94
2021,9,7,2.2,26.24,94.91,4.28,50.27
2021,9,8,3.12,26.15,94.63,5.31,37.54
2021,9,9,5.15,26.41,91.28,5.9,15.9
2021,9,10,5.17,26.61,90.56,5.98,17.93
2021,9,11,4.27,26.73,91.63,6.01,31.19
2021,9,12,3.27,26.7,93.04,4.85,46.82
2021,9,13,0.94,26.44,93.46,4.97,37
2021,9,14,2.57,26.37,91.42,5.06,14.56
2021,9,15,4.44,26.07,90.29,4.48,3.75
2021,9,16,4.54,26.15,90.44,4.23,1.98
2021,9,17,5.62,25.85,90.19,3.14,0.66
2021,9,18,5.3,25.93,90.85,3.28,2.66
2021,9,19,4.63,26.47,90.84,3.39,15.01
2021,9,20,5.12,26.44,91.22,3,16.88
2021,9,21,3.1,26.29,91.58,3.57,34.56
2021,9,22,2.4,26.13,91.92,3.46,37.11
2021,9,23,5.04,26.41,89.67,2.84,6.56
2021,9,24,5.44,26.25,87.68,2.17,0.99
2021,9,25,5.67,26.46,86.81,1.94,1.75
2021,9,26,4.57,26.26,88.03,2.01,1.63
2021,9,27,2.21,25.83,89.88,2.22,19.86
2021,9,28,3.53,24.93,94.04,5.04,72.57
2021,9,29,2.86,25.72,92.24,4.93,17.41
2021,9,30,4.64,26.8,90.81,3.8,7.01
2021,10,1,5.16,26.67,88.65,2.08,2.23
2021,10,2,4.31,27.34,88.66,2.1,1.5
2021,10,3,5.58,27.53,87.51,2.25,1.48
2021,10,4,5.86,27.51,89.44,2.74,2.69
2021,10,5,5.44,27.65,89.66,2.6,3.83
2021,10,6,5.07,28.22,84.61,1.45,21.94
2021,10,7,5.32,28.5,85.64,1.85,1.1
2021,10,8,4.19,27.01,92.55,2.15,10.44
2021,10,9,4.25,26.85,90.71,2.11,10.26
2021,10,10,4.97,27.16,85.29,1.35,2.3
2021,10,11,4.77,27.32,85.62,1.43,4.2
2021,10,12,4.39,27.95,83.29,1.6,8.91
2021,10,13,5.26,28.03,80.65,1.99,0.99
2021,10,14,5.23,28.12,75.65,1.9,0.18
2021,10,15,5.84,27.66,78.49,2.78,0.01
2021,10,16,5.92,26.1,75.9,2.63,0
2021,10,17,5.09,27.1,80.61,1.88,0.14
2021,10,18,5.7,26.5,79.02,2.55,0.02
2021,10,19,5.75,25.74,78.25,1.88,0.19
2021,10,20,5.69,24.75,80.78,2.29,0.07
2021,10,21,5.73,25.28,74.52,2.35,0
2021,10,22,5.87,25.06,73.98,2.22,0
2021,10,23,5.88,24.3,78.43,2.34,0
2021,10,24,5.87,23.69,85.98,2.59,0.11
2021,10,25,5.67,24.32,82.03,2.6,0.01
2021,10,26,5.55,24.81,75.96,2.34,0.05
2021,10,27,5.49,24.81,72.12,3.02,0
2021,10,28,4.96,24.61,75.87,3.55,0.07
2021,10,29,5.43,24.49,74.47,3.89,0
2021,10,30,5.38,24.23,73.91,3.9,0.05
2021,10,31,5.25,25.19,75.29,3.12,0
2021,11,1,5.01,25.25,76.44,2.88,0
2021,11,2,4.76,25.79,73.19,2.75,0
2021,11,3,5.03,25.35,76.57,3.2,0
2021,11,4,4.46,26.53,78.66,2.13,0.12
2021,11,5,4.58,26.98,79.93,2.31,3.21
2021,11,6,2.56,26.09,83.01,1.72,5.42
2021,11,7,2.25,25.35,83.65,1.96,1.34
2021,11,8,4.47,24.8,74.16,3.17,0.01
2021,11,9,4.78,22.97,71,3.92,0
2021,11,10,4.7,22.97,66.96,3.58,0
2021,11,11,4.57,22.49,70.15,3.84,0
2021,11,12,4.88,23.06,68.81,3.7,0
2021,11,13,4.56,25.46,79.35,3.12,0
2021,11,14,4.61,26.3,81.33,3.01,0.03
2021,11,15,4.26,26.48,85.35,2.04,0.12
2021,11,16,3.71,27.1,83.12,2.78,2.06
2021,11,17,3.4,26.94,84.4,2.69,3.44
2021,11,18,3.6,26.66,85.24,2.61,7.44
2021,11,19,4.42,26.74,83.43,1.92,1.71
2021,11,20,4.28,27.22,82.79,2.2,1.05
2021,11,21,3.78,27.46,83.62,2.6,11.21
2021,11,22,3.53,26.07,89.31,2.77,10.17
2021,11,23,4.62,26.91,86.58,1.69,0.03
2021,11,24,4.36,27.04,82.78,2.78,0.01
2021,11,25,4.38,26.11,77.75,2.12,0
2021,11,26,4.72,25.32,76.17,2.69,0
2021,11,27,4.7,24.75,71.67,2.49,0
2021,11,28,4.45,22.18,75.8,4.11,0
2021,11,29,4.47,22.98,72.38,4.24,0
2021,11,30,2.65,23.36,83.38,4.03,2.44
2021,12,1,0.64,21.92,90.21,3.6,63.01
2021,12,2,1.4,22.43,82.78,4.38,7.07
2021,12,3,3.91,23.72,84.12,2.1,0.14
2021,12,4,4.11,24.37,80.28,2.08,0.05
2021,12,5,4.11,23.22,80.49,1.86,0.03
2021,12,6,3.75,23.08,80.91,2.44,0.02
2021,12,7,3.69,23.47,75.17,3.28,0
2021,12,8,3.6,23.34,73.8,3.7,0.11
2021,12,9,3.67,23.67,72.09,2.76,0
2021,12,10,3.94,23.73,75.92,3.55,0
2021,12,11,3.55,24.02,76.93,3.24,0
2021,12,12,4.07,24.34,72.77,2.87,0.01
2021,12,13,3.84,23.38,76.54,2.22,0.01
2021,12,14,4.14,22.59,75.81,2.16,0
2021,12,15,3.51,22.7,78.08,2.32,0.2
2021,12,16,3.84,22.73,79.15,2.39,0
